"City";"Year";"Formal Jobs";"Jobs in Agriculture";"Jobs in Industry";"Jobs in Construction";"Jobs in Retail";"Jobs in Service";"Share of Agricultural Jobs";"Share of Industry Jobs";"Share of Construction Jobs";"Share of Retail Jobs";"Share of Service Jobs";"Cód. IBGE"
"Aspásia";"2015";"236";"33";"2";"1";"24";"176";"13,98";"0,85";"0,42";"10,17";"74,58";3503950
"Aspásia";"2016";"217";"20";"2";"-";"24";"171";"9,22";"0,92";"-";"11,06";"78,8";3503950
"Assis";"2012";"24220";"234";"2200";"2895";"8696";"10195";"0,97";"9,08";"11,95";"35,9";"42,09";3504008
"Assis";"2013";"23781";"261";"2158";"1480";"8912";"10970";"1,1";"9,07";"6,22";"37,48";"46,13";3504008
"Assis";"2014";"24596";"260";"2241";"1323";"8962";"11810";"1,06";"9,11";"5,38";"36,44";"48,02";3504008
"Assis";"2015";"23560";"241";"2033";"1261";"8594";"11431";"1,02";"8,63";"5,35";"36,48";"48,52";3504008
"Assis";"2016";"21579";"252";"1969";"1462";"8258";"9638";"1,17";"9,12";"6,78";"38,27";"44,66";3504008
"Atibaia";"2012";"38637";"2155";"11239";"1338";"9494";"14411";"5,58";"29,09";"3,46";"24,57";"37,3";3504107
"Atibaia";"2013";"39206";"2109";"10938";"1641";"9209";"15309";"5,38";"27,9";"4,19";"23,49";"39,05";3504107
"Atibaia";"2014";"39990";"1961";"11251";"1730";"9576";"15472";"4,9";"28,13";"4,33";"23,95";"38,69";3504107
"Atibaia";"2015";"39857";"1998";"10027";"1478";"9527";"16827";"5,01";"25,16";"3,71";"23,9";"42,22";3504107
"Atibaia";"2016";"38871";"1870";"8796";"1120";"10419";"16666";"4,81";"22,63";"2,88";"26,8";"42,88";3504107
"Auriflama";"2012";"3294";"183";"1278";"168";"712";"953";"5,56";"38,8";"5,1";"21,62";"28,93";3504206
"Auriflama";"2013";"3340";"189";"1289";"139";"747";"976";"5,66";"38,59";"4,16";"22,37";"29,22";3504206
"Auriflama";"2014";"3296";"181";"1146";"140";"785";"1044";"5,49";"34,77";"4,25";"23,82";"31,67";3504206
"Auriflama";"2015";"3088";"168";"993";"143";"779";"1005";"5,44";"32,16";"4,63";"25,23";"32,55";3504206
"Auriflama";"2016";"2854";"164";"916";"98";"752";"924";"5,75";"32,1";"3,43";"26,35";"32,38";3504206
"Avaí";"2012";"1159";"495";"15";"x";"51";"562";"42,71";"1,29";"3,11";"4,4";"48,49";3504305
"Avaí";"2013";"1636";"548";"x";"-";"51";"1031";"33,5";"0,37";"-";"3,12";"63,02";3504305
"Avaí";"2014";"1462";"604";"2";"2";"49";"805";"41,31";"0,14";"0,14";"3,35";"55,06";3504305
"Avaí";"2015";"1094";"549";"6";"1";"57";"481";"50,18";"0,55";"0,09";"5,21";"43,97";3504305
"Avaí";"2016";"963";"379";"5";"-";"64";"515";"39,36";"0,52";"-";"6,65";"53,48";3504305
"Avanhandava";"2012";"1862";"818";"334";"13";"198";"499";"43,93";"17,94";"0,7";"10,63";"26,8";3504404
"Avanhandava";"2013";"1941";"818";"333";"36";"207";"547";"42,14";"17,16";"1,85";"10,66";"28,18";3504404
"Avanhandava";"2014";"1810";"677";"342";"17";"247";"527";"37,4";"18,9";"0,94";"13,65";"29,12";3504404
"Avanhandava";"2015";"1949";"813";"339";"19";"250";"528";"41,71";"17,39";"0,97";"12,83";"27,09";3504404
"Avanhandava";"2016";"1954";"782";"373";"23";"262";"514";"40,02";"19,09";"1,18";"13,41";"26,31";3504404
"Avaré";"2012";"20920";"1845";"3618";"385";"5650";"9422";"8,82";"17,29";"1,84";"27,01";"45,04";3504503
"Avaré";"2013";"21392";"2564";"3817";"327";"5839";"8845";"11,99";"17,84";"1,53";"27,3";"41,35";3504503
"Avaré";"2014";"21386";"2385";"3798";"530";"5868";"8805";"11,15";"17,76";"2,48";"27,44";"41,17";3504503
"Avaré";"2015";"22237";"2273";"4299";"527";"6129";"9009";"10,22";"19,33";"2,37";"27,56";"40,51";3504503
"Avaré";"2016";"21455";"2065";"3965";"706";"5916";"8803";"9,62";"18,48";"3,29";"27,57";"41,03";3504503
"Bady Bassitt";"2012";"3237";"199";"626";"601";"526";"1285";"6,15";"19,34";"18,57";"16,25";"39,7";3504602
"Bady Bassitt";"2013";"3509";"224";"761";"374";"619";"1531";"6,38";"21,69";"10,66";"17,64";"43,63";3504602
"Bady Bassitt";"2014";"3589";"213";"869";"390";"571";"1546";"5,93";"24,21";"10,87";"15,91";"43,08";3504602
"Bady Bassitt";"2015";"3427";"230";"586";"378";"590";"1643";"6,71";"17,1";"11,03";"17,22";"47,94";3504602
"Bady Bassitt";"2016";"2979";"149";"728";"289";"620";"1193";"5";"24,44";"9,7";"20,81";"40,05";3504602
"Balbinos";"2012";"360";"42";"x";"-";"5";"239";"11,67";"20,56";"-";"1,39";"66,39";3504701
"Balbinos";"2013";"386";"36";"x";"x";"7";"271";"9,33";"17,88";"0,78";"1,81";"70,21";3504701
"Balbinos";"2014";"433";"35";"82";"26";"10";"280";"8,08";"18,94";"6";"2,31";"64,67";3504701
"Balbinos";"2015";"422";"45";"92";"5";"10";"270";"10,66";"21,8";"1,18";"2,37";"63,98";3504701
"Balbinos";"2016";"400";"35";"85";"-";"12";"268";"8,75";"21,25";"-";"3";"67";3504701
"Bálsamo";"2012";"1553";"139";"702";"84";"239";"389";"8,95";"45,2";"5,41";"15,39";"25,05";3504800
"Bálsamo";"2013";"1562";"137";"647";"66";"286";"426";"8,77";"41,42";"4,23";"18,31";"27,27";3504800
"Bálsamo";"2014";"1461";"148";"571";"30";"234";"478";"10,13";"39,08";"2,05";"16,02";"32,72";3504800
"Bálsamo";"2015";"1426";"133";"501";"22";"271";"499";"9,33";"35,13";"1,54";"19";"34,99";3504800
"Bálsamo";"2016";"1301";"125";"453";"28";"247";"448";"9,61";"34,82";"2,15";"18,99";"34,44";3504800
"Bananal";"2012";"1894";"253";"299";"278";"329";"735";"13,36";"15,79";"14,68";"17,37";"38,81";3504909
"Bananal";"2013";"1890";"268";"323";"231";"355";"713";"14,18";"17,09";"12,22";"18,78";"37,72";3504909
"Bananal";"2014";"2024";"269";"324";"274";"359";"798";"13,29";"16,01";"13,54";"17,74";"39,43";3504909
"Bananal";"2015";"2136";"277";"286";"448";"397";"728";"12,97";"13,39";"20,97";"18,59";"34,08";3504909
"Bananal";"2016";"1930";"286";"234";"417";"316";"677";"14,82";"12,12";"21,61";"16,37";"35,08";3504909
"Barão de Antonina";"2012";"501";"45";"162";"-";"60";"234";"8,98";"32,34";"-";"11,98";"46,71";3505005
"Barão de Antonina";"2013";"512";"49";"173";"-";"69";"221";"9,57";"33,79";"-";"13,48";"43,16";3505005
"Barão de Antonina";"2014";"569";"55";"243";"-";"72";"199";"9,67";"42,71";"-";"12,65";"34,97";3505005
"Barão de Antonina";"2015";"530";"49";"197";"-";"67";"217";"9,25";"37,17";"-";"12,64";"40,94";3505005
"Barão de Antonina";"2016";"592";"49";"244";"3";"76";"220";"8,28";"41,22";"0,51";"12,84";"37,16";3505005
"Barbosa";"2012";"823";"47";"363";"-";"71";"342";"5,71";"44,11";"-";"8,63";"41,56";3505104
"Barbosa";"2013";"929";"56";"367";"-";"94";"412";"6,03";"39,5";"-";"10,12";"44,35";3505104
"Barbosa";"2014";"998";"52";"415";"-";"85";"446";"5,21";"41,58";"-";"8,52";"44,69";3505104
"Barbosa";"2015";"785";"41";"328";"-";"94";"322";"5,22";"41,78";"-";"11,97";"41,02";3505104
"Barbosa";"2016";"732";"45";"256";"-";"129";"302";"6,15";"34,97";"-";"17,62";"41,26";3505104
"Bariri";"2012";"9390";"652";"4223";"26";"1825";"2664";"6,94";"44,97";"0,28";"19,44";"28,37";3505203
"Bariri";"2013";"9105";"553";"3943";"49";"1929";"2631";"6,07";"43,31";"0,54";"21,19";"28,9";3505203
"Bariri";"2014";"9288";"742";"3855";"33";"1972";"2686";"7,99";"41,51";"0,36";"21,23";"28,92";3505203
"Bariri";"2015";"8856";"825";"3588";"24";"1851";"2568";"9,32";"40,51";"0,27";"20,9";"29";3505203
"Bariri";"2016";"8973";"855";"3627";"39";"1854";"2598";"9,53";"40,42";"0,43";"20,66";"28,95";3505203
"Barra Bonita";"2012";"13362";"169";"6628";"124";"2421";"4020";"1,26";"49,6";"0,93";"18,12";"30,09";3505302
"Barra Bonita";"2013";"13339";"177";"6482";"98";"2537";"4045";"1,33";"48,59";"0,73";"19,02";"30,32";3505302
"Barra Bonita";"2014";"12855";"186";"6219";"122";"2402";"3926";"1,45";"48,38";"0,95";"18,69";"30,54";3505302
"Barra Bonita";"2015";"12105";"261";"5242";"116";"2285";"4201";"2,16";"43,3";"0,96";"18,88";"34,7";3505302
"Barra Bonita";"2016";"11418";"218";"4969";"80";"2205";"3946";"1,91";"43,52";"0,7";"19,31";"34,56";3505302
"Barra do Chapéu";"2012";"577";"297";"x";"x";"46";"231";"51,47";"0,35";"0,17";"7,97";"40,03";3505351
"Barra do Chapéu";"2013";"641";"363";"x";"3";"38";"235";"56,63";"0,31";"0,47";"5,93";"36,66";3505351
"Barra do Chapéu";"2014";"631";"354";"2";"1";"40";"234";"56,1";"0,32";"0,16";"6,34";"37,08";3505351
"Barra do Chapéu";"2015";"557";"251";"4";"2";"43";"257";"45,06";"0,72";"0,36";"7,72";"46,14";3505351
"Barra do Chapéu";"2016";"580";"278";"4";"3";"46";"249";"47,93";"0,69";"0,52";"7,93";"42,93";3505351
"Barra do Turvo";"2012";"546";"28";"15";"x";"82";"415";"5,13";"2,75";"1,1";"15,02";"76,01";3505401
"Barra do Turvo";"2013";"692";"28";"18";"14";"96";"536";"4,05";"2,6";"2,02";"13,87";"77,46";3505401
"Barra do Turvo";"2014";"652";"32";"39";"1";"91";"489";"4,91";"5,98";"0,15";"13,96";"75";3505401
"Barra do Turvo";"2015";"632";"28";"21";"12";"102";"469";"4,43";"3,32";"1,9";"16,14";"74,21";3505401
"Barra do Turvo";"2016";"618";"36";"18";"13";"103";"448";"5,83";"2,91";"2,1";"16,67";"72,49";3505401
"Barretos";"2012";"32849";"2259";"6175";"2885";"7171";"14359";"6,88";"18,8";"8,78";"21,83";"43,71";3505500
"Barretos";"2013";"32975";"2080";"6289";"3056";"7353";"14197";"6,31";"19,07";"9,27";"22,3";"43,05";3505500
"Barretos";"2014";"33896";"1979";"6434";"3252";"7557";"14674";"5,84";"18,98";"9,59";"22,29";"43,29";3505500
"Barretos";"2015";"34593";"2077";"6222";"4001";"7548";"14745";"6";"17,99";"11,57";"21,82";"42,62";3505500
"Barretos";"2016";"33627";"1852";"6232";"3965";"7436";"14142";"5,51";"18,53";"11,79";"22,11";"42,06";3505500
"Barrinha";"2012";"3803";"36";"576";"341";"1540";"1310";"0,95";"15,15";"8,97";"40,49";"34,45";3505609
"Barrinha";"2013";"3972";"41";"635";"401";"1538";"1357";"1,03";"15,99";"10,1";"38,72";"34,16";3505609
"Barrinha";"2014";"3815";"43";"406";"441";"1533";"1392";"1,13";"10,64";"11,56";"40,18";"36,49";3505609
"Barrinha";"2015";"3886";"41";"331";"629";"1489";"1396";"1,06";"8,52";"16,19";"38,32";"35,92";3505609
"Barrinha";"2016";"3765";"27";"189";"804";"1332";"1413";"0,72";"5,02";"21,35";"35,38";"37,53";3505609
"Barueri";"2012";"250227";"14";"30967";"7310";"43331";"168605";"0,01";"12,38";"2,92";"17,32";"67,38";3505708
"Barueri";"2013";"258584";"18";"38940";"7733";"43306";"168587";"0,01";"15,06";"2,99";"16,75";"65,2";3505708
"Barueri";"2014";"262968";"18";"37216";"10832";"43840";"171062";"0,01";"14,15";"4,12";"16,67";"65,05";3505708
"Barueri";"2015";"263246";"23";"36190";"10240";"45238";"171555";"0,01";"13,75";"3,89";"17,18";"65,17";3505708
"Barueri";"2016";"254677";"38";"32489";"6622";"42728";"172800";"0,01";"12,76";"2,6";"16,78";"67,85";3505708
"Bastos";"2012";"6077";"2595";"1001";"57";"913";"1511";"42,7";"16,47";"0,94";"15,02";"24,86";3505807
"Bastos";"2013";"6645";"2779";"1152";"19";"1127";"1568";"41,82";"17,34";"0,29";"16,96";"23,6";3505807
"Bastos";"2014";"6639";"2731";"1209";"32";"1065";"1602";"41,14";"18,21";"0,48";"16,04";"24,13";3505807
"Bastos";"2015";"7666";"3071";"1723";"29";"1053";"1790";"40,06";"22,48";"0,38";"13,74";"23,35";3505807
"Bastos";"2016";"6870";"2770";"1460";"29";"1042";"1569";"40,32";"21,25";"0,42";"15,17";"22,84";3505807
"Batatais";"2012";"16073";"864";"6097";"603";"3146";"5363";"5,38";"37,93";"3,75";"19,57";"33,37";3505906
"Batatais";"2013";"17043";"808";"6422";"656";"3441";"5716";"4,74";"37,68";"3,85";"20,19";"33,54";3505906
"Batatais";"2014";"16760";"802";"6289";"579";"3465";"5625";"4,79";"37,52";"3,45";"20,67";"33,56";3505906
"Batatais";"2015";"15535";"785";"5265";"528";"3344";"5613";"5,05";"33,89";"3,4";"21,53";"36,13";3505906
"Batatais";"2016";"15223";"743";"5150";"523";"3312";"5495";"4,88";"33,83";"3,44";"21,76";"36,1";3505906
"Bauru";"2012";"125993";"1353";"17643";"6877";"28046";"72074";"1,07";"14";"5,46";"22,26";"57,2";3506003
"Bauru";"2013";"129238";"1059";"16641";"7571";"28834";"75133";"0,82";"12,88";"5,86";"22,31";"58,14";3506003
"Bauru";"2014";"130805";"883";"15986";"7020";"29497";"77419";"0,68";"12,22";"5,37";"22,55";"59,19";3506003
"Bauru";"2015";"125753";"981";"14645";"15145";"28556";"66426";"0,78";"11,65";"12,04";"22,71";"52,82";3506003
"Bauru";"2016";"120854";"904";"14282";"14300";"27375";"63993";"0,75";"11,82";"11,83";"22,65";"52,95";3506003
"Bebedouro";"2012";"30064";"10917";"2769";"900";"6893";"8585";"36,31";"9,21";"2,99";"22,93";"28,56";3506102
"Bebedouro";"2013";"24496";"4437";"2792";"1026";"7213";"9028";"18,11";"11,4";"4,19";"29,45";"36,85";3506102
"Bebedouro";"2014";"27038";"6685";"2903";"1172";"7343";"8935";"24,72";"10,74";"4,33";"27,16";"33,05";3506102
"Bebedouro";"2015";"27938";"8626";"2807";"732";"6876";"8897";"30,88";"10,05";"2,62";"24,61";"31,85";3506102
"Bebedouro";"2016";"24479";"4600";"2855";"780";"7027";"9217";"18,79";"11,66";"3,19";"28,71";"37,65";3506102
"Bento de Abreu";"2012";"786";"72";"438";"-";"28";"248";"9,16";"55,73";"-";"3,56";"31,55";3506201
"Bento de Abreu";"2013";"816";"79";"463";"-";"34";"240";"9,68";"56,74";"-";"4,17";"29,41";3506201
"Bento de Abreu";"2014";"820";"60";"494";"-";"28";"238";"7,32";"60,24";"-";"3,41";"29,02";3506201
"Bento de Abreu";"2015";"925";"62";"589";"1";"28";"245";"6,7";"63,68";"0,11";"3,03";"26,49";3506201
"Bento de Abreu";"2016";"842";"62";"519";"-";"22";"239";"7,36";"61,64";"-";"2,61";"28,38";3506201
"Bernardino de Campos";"2012";"2203";"394";"836";"59";"299";"615";"17,88";"37,95";"2,68";"13,57";"27,92";3506300
"Bernardino de Campos";"2013";"2295";"332";"910";"82";"297";"674";"14,47";"39,65";"3,57";"12,94";"29,37";3506300
"Bernardino de Campos";"2014";"2386";"318";"859";"59";"320";"830";"13,33";"36";"2,47";"13,41";"34,79";3506300
"Bernardino de Campos";"2015";"2306";"285";"819";"46";"327";"829";"12,36";"35,52";"1,99";"14,18";"35,95";3506300
"Bernardino de Campos";"2016";"2023";"270";"739";"22";"339";"653";"13,35";"36,53";"1,09";"16,76";"32,28";3506300
"Bertioga";"2012";"12200";"24";"182";"1033";"2997";"7964";"0,2";"1,49";"8,47";"24,57";"65,28";3506359
"Bertioga";"2013";"12769";"x";"181";"998";"3153";"8416";"0,16";"1,42";"7,82";"24,69";"65,91";3506359
"Bertioga";"2014";"12320";"23";"180";"739";"3378";"8000";"0,19";"1,46";"6";"27,42";"64,94";3506359
"Bertioga";"2015";"12660";"13";"208";"697";"3316";"8426";"0,1";"1,64";"5,51";"26,19";"66,56";3506359
"Bertioga";"2016";"12398";"12";"189";"422";"3334";"8441";"0,1";"1,52";"3,4";"26,89";"68,08";3506359
"Bilac";"2012";"1557";"137";"456";"2";"458";"504";"8,8";"29,29";"0,13";"29,42";"32,37";3506409
"Bilac";"2013";"1563";"141";"573";"8";"344";"497";"9,02";"36,66";"0,51";"22,01";"31,8";3506409
"Bilac";"2014";"1560";"92";"519";"8";"395";"546";"5,9";"33,27";"0,51";"25,32";"35";3506409
"Bilac";"2015";"1587";"96";"551";"9";"402";"529";"6,05";"34,72";"0,57";"25,33";"33,33";3506409
"Bilac";"2016";"1478";"108";"477";"10";"351";"532";"7,31";"32,27";"0,68";"23,75";"35,99";3506409
"Birigui";"2012";"38371";"564";"20734";"1100";"6942";"9031";"1,47";"54,04";"2,87";"18,09";"23,54";3506508
"Birigui";"2013";"37893";"582";"19592";"1161";"7013";"9545";"1,54";"51,7";"3,06";"18,51";"25,19";3506508
"Birigui";"2014";"37584";"603";"19074";"1138";"7114";"9655";"1,6";"50,75";"3,03";"18,93";"25,69";3506508
"Birigui";"2015";"34076";"560";"15998";"1049";"6909";"9560";"1,64";"46,95";"3,08";"20,28";"28,05";3506508
"Birigui";"2016";"33522";"746";"15354";"951";"6805";"9666";"2,23";"45,8";"2,84";"20,3";"28,83";3506508
"Biritiba-Mirim";"2012";"5103";"1086";"232";"32";"934";"2819";"21,28";"4,55";"0,63";"18,3";"55,24";3506607
"Biritiba-Mirim";"2013";"4080";"1166";"249";"46";"982";"1637";"28,58";"6,1";"1,13";"24,07";"40,12";3506607
"Biritiba-Mirim";"2014";"3935";"1324";"270";"19";"1047";"1275";"33,65";"6,86";"0,48";"26,61";"32,4";3506607
"Biritiba-Mirim";"2015";"3930";"1274";"271";"25";"971";"1389";"32,42";"6,9";"0,64";"24,71";"35,34";3506607
"Biritiba-Mirim";"2016";"3873";"1237";"283";"20";"961";"1372";"31,94";"7,31";"0,52";"24,81";"35,42";3506607
"Boa Esperança do Sul";"2012";"5147";"2496";"1389";"42";"276";"944";"48,49";"26,99";"0,82";"5,36";"18,34";3506706
"Boa Esperança do Sul";"2013";"5298";"2721";"1347";"31";"322";"877";"51,36";"25,42";"0,59";"6,08";"16,55";3506706
"Boa Esperança do Sul";"2014";"4959";"2206";"1385";"40";"346";"982";"44,48";"27,93";"0,81";"6,98";"19,8";3506706
"Boa Esperança do Sul";"2015";"5006";"2225";"1377";"36";"345";"1023";"44,45";"27,51";"0,72";"6,89";"20,44";3506706
"Boa Esperança do Sul";"2016";"4665";"2006";"1375";"31";"310";"943";"43";"29,47";"0,66";"6,65";"20,21";3506706
"Bocaina";"2012";"4344";"332";"2989";"13";"285";"725";"7,64";"68,81";"0,3";"6,56";"16,69";3506805
"Bocaina";"2013";"4346";"316";"2989";"8";"287";"746";"7,27";"68,78";"0,18";"6,6";"17,17";3506805
"Bocaina";"2014";"3538";"296";"2223";"6";"275";"738";"8,37";"62,83";"0,17";"7,77";"20,86";3506805
"Bocaina";"2015";"3156";"224";"1879";"9";"275";"769";"7,1";"59,54";"0,29";"8,71";"24,37";3506805
"Bocaina";"2016";"3224";"211";"1996";"16";"263";"738";"6,54";"61,91";"0,5";"8,16";"22,89";3506805
"Bofete";"2012";"1667";"659";"174";"27";"250";"557";"39,53";"10,44";"1,62";"15";"33,41";3506904
"Bofete";"2013";"1653";"682";"192";"9";"242";"528";"41,26";"11,62";"0,54";"14,64";"31,94";3506904
"Bofete";"2014";"1676";"643";"181";"14";"252";"586";"38,37";"10,8";"0,84";"15,04";"34,96";3506904
"Bofete";"2015";"1850";"738";"255";"6";"259";"592";"39,89";"13,78";"0,32";"14";"32";3506904
"Bofete";"2016";"1815";"781";"218";"3";"222";"591";"43,03";"12,01";"0,17";"12,23";"32,56";3506904
"Boituva";"2012";"18988";"508";"7839";"491";"2886";"7264";"2,68";"41,28";"2,59";"15,2";"38,26";3507001
"Boituva";"2013";"21127";"528";"9253";"612";"2967";"7767";"2,5";"43,8";"2,9";"14,04";"36,76";3507001
"Boituva";"2014";"19664";"500";"9499";"632";"3548";"5485";"2,54";"48,31";"3,21";"18,04";"27,89";3507001
"Boituva";"2015";"22215";"838";"9195";"557";"3768";"7857";"3,77";"41,39";"2,51";"16,96";"35,37";3507001
"Boituva";"2016";"21232";"591";"9583";"472";"3174";"7412";"2,78";"45,13";"2,22";"14,95";"34,91";3507001
"Bom Jesus dos Perdões";"2012";"4032";"58";"1977";"35";"701";"1261";"1,44";"49,03";"0,87";"17,39";"31,27";3507100
"Bom Jesus dos Perdões";"2013";"4531";"60";"2371";"75";"745";"1280";"1,32";"52,33";"1,66";"16,44";"28,25";3507100
"Bom Jesus dos Perdões";"2014";"4478";"73";"2315";"69";"740";"1281";"1,63";"51,7";"1,54";"16,53";"28,61";3507100
"Bom Jesus dos Perdões";"2015";"5219";"73";"2180";"174";"1446";"1346";"1,4";"41,77";"3,33";"27,71";"25,79";3507100
"Bom Jesus dos Perdões";"2016";"4873";"69";"2611";"44";"915";"1234";"1,42";"53,58";"0,9";"18,78";"25,32";3507100
"Bom Sucesso de Itararé";"2012";"470";"77";"51";"4";"86";"252";"16,38";"10,85";"0,85";"18,3";"53,62";3507159
"Bom Sucesso de Itararé";"2013";"544";"85";"104";"5";"43";"307";"15,63";"19,12";"0,92";"7,9";"56,43";3507159
"Bom Sucesso de Itararé";"2014";"544";"87";"97";"6";"42";"312";"15,99";"17,83";"1,1";"7,72";"57,35";3507159
"Bom Sucesso de Itararé";"2015";"572";"108";"79";"8";"63";"314";"18,88";"13,81";"1,4";"11,01";"54,9";3507159
"Bom Sucesso de Itararé";"2016";"484";"75";"59";"7";"62";"281";"15,5";"12,19";"1,45";"12,81";"58,06";3507159
"Borá";"2012";"1687";"20";"1547";"-";"7";"113";"1,19";"91,7";"-";"0,41";"6,7";3507209
"Borá";"2013";"1760";"22";"1610";"-";"7";"121";"1,25";"91,48";"-";"0,4";"6,88";3507209
"Borá";"2014";"1555";"24";"1400";"-";"6";"125";"1,54";"90,03";"-";"0,39";"8,04";3507209
"Borá";"2015";"1501";"28";"1350";"-";"4";"119";"1,87";"89,94";"-";"0,27";"7,93";3507209
"Borá";"2016";"1369";"23";"1215";"-";"5";"126";"1,68";"88,75";"-";"0,37";"9,2";3507209
"Boracéia";"2012";"1328";"290";"430";"15";"211";"382";"21,84";"32,38";"1,13";"15,89";"28,77";3507308
"Boracéia";"2013";"1342";"266";"414";"8";"234";"420";"19,82";"30,85";"0,6";"17,44";"31,3";3507308
"Boracéia";"2014";"1323";"216";"445";"35";"241";"386";"16,33";"33,64";"2,65";"18,22";"29,18";3507308
"Boracéia";"2015";"1171";"189";"369";"28";"205";"380";"16,14";"31,51";"2,39";"17,51";"32,45";3507308
"Boracéia";"2016";"1216";"284";"355";"18";"234";"325";"23,36";"29,19";"1,48";"19,24";"26,73";3507308
"Borborema";"2012";"2854";"433";"768";"8";"709";"936";"15,17";"26,91";"0,28";"24,84";"32,8";3507407
"Borborema";"2013";"2961";"360";"825";"9";"738";"1029";"12,16";"27,86";"0,3";"24,92";"34,75";3507407
"Borborema";"2014";"2986";"369";"788";"25";"758";"1046";"12,36";"26,39";"0,84";"25,39";"35,03";3507407
"Borborema";"2015";"2907";"411";"664";"10";"708";"1114";"14,14";"22,84";"0,34";"24,36";"38,32";3507407
"Borborema";"2016";"2767";"360";"654";"13";"681";"1059";"13,01";"23,64";"0,47";"24,61";"38,27";3507407
"Borebi";"2012";"735";"414";"60";"-";"96";"165";"56,33";"8,16";"-";"13,06";"22,45";3507456
"Borebi";"2013";"763";"405";"31";"-";"107";"220";"53,08";"4,06";"-";"14,02";"28,83";3507456
"Borebi";"2014";"746";"370";"61";"-";"98";"217";"49,6";"8,18";"-";"13,14";"29,09";3507456
"Borebi";"2015";"666";"274";"71";"-";"98";"223";"41,14";"10,66";"-";"14,71";"33,48";3507456
"Borebi";"2016";"659";"315";"64";"4";"88";"188";"47,8";"9,71";"0,61";"13,35";"28,53";3507456
"Botucatu";"2012";"39261";"2724";"11437";"903";"7925";"16272";"6,94";"29,13";"2,3";"20,19";"41,45";3507506
"Botucatu";"2013";"41382";"2901";"11932";"1132";"8226";"17191";"7,01";"28,83";"2,74";"19,88";"41,54";3507506
"Botucatu";"2014";"41687";"2721";"12006";"934";"7896";"18130";"6,53";"28,8";"2,24";"18,94";"43,49";3507506
"Botucatu";"2015";"41184";"3551";"9850";"913";"8363";"18507";"8,62";"23,92";"2,22";"20,31";"44,94";3507506
"Botucatu";"2016";"38950";"2752";"8888";"905";"8014";"18391";"7,07";"22,82";"2,32";"20,58";"47,22";3507506
"Bragança Paulista";"2012";"41310";"1565";"11650";"1144";"9618";"17333";"3,79";"28,2";"2,77";"23,28";"41,96";3507605
"Bragança Paulista";"2013";"42578";"1536";"12274";"1326";"9829";"17613";"3,61";"28,83";"3,11";"23,08";"41,37";3507605
"Bragança Paulista";"2014";"43186";"1550";"11989";"1319";"10354";"17974";"3,59";"27,76";"3,05";"23,98";"41,62";3507605
"Bragança Paulista";"2015";"42494";"1554";"11674";"1204";"10330";"17732";"3,66";"27,47";"2,83";"24,31";"41,73";3507605
"Bragança Paulista";"2016";"43033";"1611";"11279";"996";"10631";"18516";"3,74";"26,21";"2,31";"24,7";"43,03";3507605
"Braúna";"2012";"551";"59";"101";"16";"79";"296";"10,71";"18,33";"2,9";"14,34";"53,72";3507704
"Braúna";"2013";"629";"72";"135";"19";"84";"319";"11,45";"21,46";"3,02";"13,35";"50,72";3507704
